Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
Reduced_Cost_Estimate,US East (N. Virginia),,Amazon EC2,3018,746.92,11981.04,USD,"Operating system (Linux), Storage amount (800 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month), Workload (Consistent, Number of instances: 6), Advance EC2 instance (c5.large), Pricing strategy (All Reserved 1 Year  All upfront), Snapshot Frequency (2x Daily), Amount changed per snapshot (3 GB)"
Reduced_Cost_Estimate,US East (N. Virginia),,Amazon EC2,3012,746.92,11975.04,USD,"Operating system (Linux), Storage amount (800 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month), Workload (Consistent, Number of instances: 6), Advance EC2 instance (c6i.large), Pricing strategy (All Reserved 1 Year  All upfront), Snapshot Frequency (2x Daily), Amount changed per snapshot (3 GB)"
Reduced_Cost_Estimate,US East (N. Virginia),,Amazon RDS for MySQL,14328,115,15708,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (500 GB), Quantity (1), Instance type (db.m5.4xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (Reserved 1yr All Upfront)"
Reduced_Cost_Estimate,US East (N. Virginia),,Amazon Route 53,0,308.5,3702,USD,"Hosted Zones (2), Number of Elastic Network Interfaces (2), Basic Checks Within AWS (100)"
Reduced_Cost_Estimate,US East (N. Virginia),,S3 Standard,0,23.01,276.12,USD,S3 Standard storage (1000 GB per month)
Reduced_Cost_Estimate,US East (N. Virginia),,Data Transfer,0,0,0,USD,
Reduced_Cost_Estimate,US East (N. Virginia),,VPN Connection,0,0,0,USD,Working days per month (22)
Reduced_Cost_Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,77.85,934.2,USD,Number of NAT Gateways (1)
Reduced_Cost_Estimate,US East (N. Virginia),,Gateway Load Balancer,0,80.3,963.6,USD,"Number of Availability Zones that Gateway Load Balancer is deployed to (2), Number of Gateway Load Balancer Endpoints (1), Total processed bytes (10 GB per hour), Average number of new connections/flows ( per second)"
Reduced_Cost_Estimate,US East (N. Virginia),,Application Load Balancer,0,1534.83,18417.96,USD,Number of Application Load Balancers (1)
Reduced_Cost_Estimate,US East (N. Virginia),,Application Load Balancer,0,1534.83,18417.96,USD,Number of Application Load Balancers (1)
Reduced_Cost_Estimate,US East (N. Virginia),,Network Load Balancer,0,454.43,5453.16,USD,"Number of Network Load Balancers (1), Processed bytes per NLB for TCP (100 GB per hour)"
Reduced_Cost_Estimate,US East (N. Virginia),,Amazon CloudWatch,0,82.62,991.44,USD,"GetMetricData: Number of metrics requested (10000), GetMetricWidgetImage: Number of metrics requested (10000), Number of other API requests (1000000), Standard Logs: Data Ingested (10 GB), Logs Delivered to CloudWatch Logs: Data Ingested (10 GB), Expected Logs Data scanned (10 GB), Number of Custom/Cross-account events (100000), Number of Dashboards (10), Number of Canary runs (1000), Number of Contributor Insights rules for CloudWatch (50), Number of Contributor Insights rules for DynamoDB (30), Number of Lambda functions (30)"
,,,,,,,,
,,,,,,,,
,,,,,,,,
Acknowledgement,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,
,,,,,,,,
Total Monthly,,,,,5705.21,,,
,,,,,,,,
,,,,Changes,RDS pricing strategy changed from on-demand to 1 year period,,,
,,,,,EC2 pricing strategy changed from on-demand to 1 year period,,,
